"SortIndex","VirtualDistance (m)","DepthOfCover (m)","ACVG_VSS_DB","Attenuation","DCVGPercentIR","CPCIPS_OnPotential","CPCIPS_InstantOffPotential","ACPSP_OnPotential","Latitude","Longitude","Pipe_Top_Elevation (m)","Pipe_Center_Elevation (m)","Pipe_Bottom_Elevation (m)","ALIASList","FeatureID","ROWALIASList","Comment"
8032,33585.6421679022,1.276,66,4.36451564267682,0,-1.088,-0.95,0.457,26.4917107649167,90.8644794115833,40.448,40.2702,40.0924,,9000,,
8033,33587.3842025791,1.348,62,4.46000954521437,0,-1.102,-0.956,0.396,26.4917135198889,90.8644966093889,40.42,40.2422,40.0644,,9000,,
8034,33589.3064224301,1.332,64,4.14671044492755,0,-1.084,-0.931,0.306,26.49171631175,90.86451563525,40.431,40.2532,40.0754,,9000,,
8035,33591.1916365555,1.356,61,3.77314290559521,0,-1.093,-0.956,0.257,26.4917187469444,90.8645343466111,40.442,40.2642,40.0864,,9000,,
8036,33593.105472937,1.346,60,4.10871313845469,0,-1.103,-0.948,0.197,26.4917202826667,90.8645534619445,40.414,40.2362,40.0584,,9000,,
8037,33594.9669406293,1.33600000000001,60,3.87909471105544,0,-1.105,-0.942,0.201,26.4917227457222,90.8645719282778,40.421,40.2432,40.0654,,9000,,
8038,33596.508069505,1.302,63,3.23444653712842,0,-1.108,-0.936,0.243,26.49172336625,90.86458736825,40.43,40.2522,40.0744,,9000,,
8039,33598.1622486509,1.308,67,3.49876357196514,0,-1.104,-0.807,0.26,26.4917254083333,90.8646038000555,40.407,40.2292,40.0514,,9000,,
8040,33600.022018986,1.286,67,4.0125674201461,0,-1.091,-0.958,0.181,26.49172554775,90.8646224449167,40.453,40.2752,40.0974,,9000,,
8041,33601.7895193887,1.294,60,3.99087195006593,0,-1.089,-0.955,0.186,26.4917286695833,90.8646398258333,40.426,40.2482,40.0704,,9000,,
8042,33603.5581273365,1.262,63,4.38102537911552,0,-1.088,-0.964,0.172,26.4917316013333,90.86465725725,40.39,40.2122,40.0344,,9000,,
8043,33605.1505862616,1.22,58,4.10243571300706,0,-1.085,-0.958,0.161,26.4917315619444,90.8646732268889,40.405,40.2272,40.0494,,9000,,
8044,33606.7248892044,1.204,63,2.99850352550784,0,-1.085,-0.957,0.187,26.4917323990556,90.8646889859444,40.381,40.2032,40.0254,,9000,,
8045,33608.4419586349,1.18,62,4.33371624149722,0,-1.08,-0.961,0.218,26.49173470925,90.8647060129167,40.366,40.1882,40.0104,,9000,,
8046,33610.1345399371,1.192,61,3.89921533961062,0,-1.075,-0.958,0.304,26.4917391660556,90.8647222383333,40.308,40.1302,39.9524,,9000,,
8047,33611.6777580134,1.192,61,4.3085273205461,0,-1.08,-0.966,0.364,26.4917416413333,90.8647374671667,40.288,40.1102,39.9324,,9000,,
8048,33613.529327287,1.15000000000001,60,4.90761552690879,0,-1.073,-0.964,0.433,26.4917416755,90.8647560266667,40.229,40.0512,39.8734,,9000,,
8049,33614.9157260458,1.114,59,4.62891759987707,0,-1.064,-0.148,0.441,26.4917434763333,90.864769779,40.272,40.0942,39.9164,,9000,,
8050,33616.4575857989,1.112,58,4.62486057149599,0,-1.06,-0.967,0.43,26.4917457946667,90.8647850251667,40.286,40.1082,39.9304,,9000,,
8051,33618.2333388544,1.114,58,3.96241271863977,0,-1.064,-0.966,0.403,26.4917469632222,90.8648027787222,40.234,40.0562,39.8784,,9000,,
8052,33619.4540579676,1.1,55,4.05187417601298,0,-1.062,-0.958,0.345,26.4917459215556,90.8648149661667,40.236,40.0582,39.8804,,9000,,
8053,33621.4920821738,1.122,60,4.60328056875609,0,-0.134,-0.169,0.632,26.491751862,90.8648310198333,39.16,38.9822,38.8044,,9000,,
8054,33623.1881729965,1.14400000000001,63,4.38940453528348,0,-1.056,-0.934,0.215,26.491754163,90.8648478006667,39.051,38.8732,38.6954,,9000,,
8055,33624.8541386137,1.18,60,4.9250547052193,0,-1.061,-0.941,0.193,26.4917551522222,90.86486443,38.933,38.7552,38.5774,,9000,,
8056,33626.7356501791,1.194,60,3.93588973716069,0,-1.057,-0.927,0.204,26.4917593753333,90.86488257625,38.716,38.5382,38.3604,,9000,,
8057,33628.7126294765,1.244,59,5.04365051173922,0,-1.055,-0.927,0.229,26.4917599850833,90.8649023903333,38.696,38.5182,38.3404,,9000,,
8058,33630.552007176,1.218,58,5.26703302242104,0,-1.058,-0.93,0.239,26.4917614270833,90.864920744625,38.787,38.6092,38.4314,,9000,,
8059,33632.0143574439,1.27800000000001,60,3.80814372680231,0,-1.055,-0.928,0.254,26.4917644653333,90.8649346933333,38.486,38.3082,38.1304,,9000,,
8060,33633.7836519363,1.27200000000001,60,3.83293149133754,0,-1.057,-0.926,0.284,26.49176546575,90.8649522849167,38.283,38.1052,37.9274,,9000,,
8061,33635.3231705026,1.262,58,4.028539626336,0,-1.068,-0.93,0.292,26.491766843,90.8649675995556,38.405,38.2272,38.0494,,9000,,
8062,33636.8761942285,1.248,57,3.3978658115785,0,-1.071,-0.931,0.314,26.4917667139167,90.8649831709167,38.435,38.2572,38.0794,,9000,,
8063,33638.0776015358,1.19,55,3.97761521117024,0,-1.071,-0.927,0.277,26.4917688956111,90.8649946768889,38.173,37.9952,37.8174,,9000,,
8064,33639.0249311872,1.206,56,5.07776702040397,0,-1.071,-0.946,0.727,26.4917720940833,90.8650034871667,38.166,37.9882,37.8104,,9000,,
8065,33640.8004260238,1.21,53,3.94951222834419,0,-1.074,-0.942,0.858,26.4917727452222,90.8650212599445,38.085,37.9072,37.7294,,9000,,
8066,33642.6524194049,1.25,57,4.68166724798405,0,-1.076,-0.937,0.981,26.4917736233333,90.86503977225,38.199,38.0212,37.8434,,9000,,
8067,33644.3245113492,1.294,58,3.12844685350368,0,-1.074,-0.925,0.996,26.4917750420556,90.8650563755555,38.025,37.8472,37.6694,,9000,,
